id,name,type_1,type_2,division,location,constituency,latitude,longitude
81,LAVINGTON PRI SCH,MIXED,DAY ONLY,WESTLANDS,LAVINGTON,WESTLANDS,-1.278235,36.773748
82,MUTHANGARI PRI SCH,MIXED,DAY ONLY,WESTLANDS,LAVINGTON,WESTLANDS,-1.267846,36.769695
83,KILELESHWA PRI SCH,MIXED,DAY ONLY,WESTLANDS,KILELESHWA,WESTLANDS,-1.274276,36.790333
84,HOSPITAL HILL SCH - PRI,MIXED,DAY ONLY,WESTLANDS,HIGHRIDGE,WESTLANDS,-1.264323,36.814922
85,HIGHRIDGE PRI SCH,MIXED,DAY ONLY,WESTLANDS,HIGHRIDGE,WESTLANDS,-1.253289,36.815977
86,BOHRA PRI SCH,MIXED,DAY ONLY,WESTLANDS,PARKLANDS,WESTLANDS,-1.255881,36.790004
87,MUGUGA PRI SCH,MIXED,DAY ONLY,WESTLANDS,PARKLANDS,WESTLANDS,-1.256329,36.78818
88,KIHUMBUINI PRI SCH,MIXED,DAY ONLY,WESTLANDS,KANGEMI,WESTLANDS,-1.263371,36.746506
89,NEW KIHUMBUINI PRI SCH - PRI,MIXED,DAY ONLY,WESTLANDS,KANGEMI,WESTLANDS,-1.263347,36.74703
90,KABETE VET. LAB PRI SCH,MIXED,DAY ONLY,WESTLANDS,KITISURU,WESTLANDS,-1.260947,36.721818
91,KABETE VET. LAB PRI SCH -SPECIAL UNIT,MIXED,DAY ONLY,WESTLANDS,KITISURU,WESTLANDS,-1.260947,36.721818
92,KANGEMI PRI SCH - PRI,MIXED,DAY ONLY,WESTLANDS,KANGEMI,WESTLANDS,-1.26805,36.747438
93,LORESHO PRI. SCH,MIXED,BOARDING ONLY,WESTLANDS,KITISURU,WESTLANDS,-1.249052,36.747661
94,FARASI LANE PRI SCH,MIXED,DAY ONLY,WESTLANDS,KITISURU,WESTLANDS,-1.240784,36.760342
95,LOWER KABETE PRI SCH.,MIXED,DAY ONLY,WESTLANDS,KITISURU,WESTLANDS,-1.23735,36.745634
96,CHELETE PRI SCH,MIXED,DAY ONLY,WESTLANDS,HIGHRIDGE,WESTLANDS,-1.219351,36.822173
97,KARURA FOREST PRI SCH,MIXED,DAY ONLY,WESTLANDS,HIGHRIDGE,WESTLANDS,-1.246796,36.839944
98,CANON APOLO PRI SCH,MIXED,DAY ONLY,MAKADARA,MARINGO,MAKADARA,-1.295942,36.860123
99,JOSEPH APUDO PRI SCH,MIXED,DAY ONLY,MAKADARA,MAKONGENI,MAKADARA,-1.29584,36.849616
100,ST. JOHNS KALOLENI PRI SCH -PRI,MIXED,DAY ONLY,MAKADARA,MAKONGENI,MAKADARA,-1.295248,36.847559
101,ST ANNES PRI SCH,GIRLS ONLY,DAY ONLY,MAKADARA,MARINGO,MAKADARA,-1.291538,36.856984
102,JOGOO ROAD PRI SCH,MIXED,DAY ONLY,MAKADARA,MAKADARA,MAKADARA,-1.293562,36.867146
103,ST. MICHAELS PRI SCH,MIXED,DAY ONLY,MAKADARA,MAKADARA,MAKADARA,-1.291951,36.867416
104,NILE ROAD SPECIAL SCH - PRI,MIXED,DAY ONLY,MAKADARA,MAKADARA,MAKADARA,-1.290819,36.868406
105,DR. KRAFT PRI SCH,MIXED,DAY ONLY,MAKADARA,MARINGO,MAKADARA,-1.288998,36.86498
106,HARAMBEE PRI SCH - PRI,MIXED,DAY ONLY,MAKADARA,HARAMBEE,MAKADARA,-1.279367,36.87534
107,ST TERESA'S GIRLS PRI SCH,GIRLS ONLY,DAY ONLY,STAREHE,MATHARE,STAREHE,-1.26205,36.846066
108,BAHATI PRI SCH,MIXED,DAY ONLY,MAKADARA,MARINGO,KAMUKUNJI,-1.288527,36.861486
109,HESHIMA PRI SCH,MIXED,DAY ONLY,PUMWANI,KAMUKUNJI,KAMUKUNJI,-1.290065,36.850837
110,EMBAKASI PRI SCH,MIXED,DAY ONLY,EMBAKASI,EMBAKASI,EMBAKASI,-1.304663,36.913484
111,ST PAULS PRI SCH,MIXED,DAY ONLY,MAKADARA,MARINGO,MAKADARA,-1.295302,36.85843
112,KALOLENI PRI SCH,MIXED,DAY ONLY,MAKADARA,KALOLENI,MAKADARA,-1.298175,36.845184
113,SHADRACK KIMALEL PRI SCH,MIXED,DAY ONLY,DAGORETTI,KENYATTA/GOLF COURSE,DAGORETTI,-1.30731,36.798052
114,JOSEPH KANGETHE  PRIMARY SCH,MIXED,DAY ONLY,DAGORETTI,KENYATTA/GOLF COURSE,DAGORETTI,-1.300632,36.783725
115,TOI PRI SCH,MIXED,DAY ONLY,DAGORETTI,KENYATTA/GOLF COURSE,DAGORETTI,-1.303054,36.779632
